game_id,home_yards_gained,away_yards_gained,home_interception,away_interception,home_fumble_forced,away_fumble_forced,home_fumble_not_forced,away_fumble_not_forced,home_fumble_out_of_bounds,away_fumble_out_of_bounds,home_solo_tackle,away_solo_tackle,home_safety,away_safety,home_penalty,away_penalty,home_qb_hit,away_qb_hit,home_rush_attempt,away_rush_attempt,home_pass_attempt,away_pass_attempt,home_fumble,away_fumble,home_complete_pass,away_complete_pass,home_assist_tackle,away_assist_tackle,home_sack,away_sack,home_touchdown,away_touchdown,home_pass_touchdown,away_pass_touchdown,home_rush_touchdown,away_rush_touchdown,home_return_touchdown,away_return_touchdown,home_extra_point_attempt,away_extra_point_attempt,home_two_point_attempt,away_two_point_attempt,home_field_goal_attempt,away_field_goal_attempt,home_kickoff_attempt,away_kickoff_attempt,home_punt_attempt,away_punt_attempt,home_punts_blocked,away_punts_blocked,home_first_down_rush,away_first_down_rush,home_first_down_pass,away_first_down_pass,home_first_down_penalty,away_first_down_penalty,home_third_down_converted,away_third_down_converted,home_third_down_failed,away_third_down_failed,home_fourth_down_converted,away_fourth_down_converted,home_fourth_down_failed,away_fourth_down_failed,home_incomplete_pass,away_incomplete_pass,home_touchback,away_touchback,Winner,score_difference
2009092004,409.0,166.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,62.0,36.0,0.0,0.0,10.0,6.0,6.0,2.0,38.0,25.0,41.0,26.0,1.0,1.0,24.0,7.0,4.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,3.0,5.0,7.0,0.0,0.0,10.0,10.0,13.0,13.0,2.0,2.0,5.0,5.0,10.0,10.0,2.0,2.0,1.0,1.0,13.0,13.0,0.0,0.0,A,-3
2009092005,254.0,299.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,31.0,0.0,0.0,4.0,15.0,2.0,7.0,31.0,20.0,24.0,47.0,2.0,0.0,14.0,23.0,23.0,20.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,5.0,5.0,6.0,0.0,0.0,4.0,4.0,10.0,10.0,0.0,0.0,3.0,3.0,8.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,H,7
2009092006,463.0,421.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,54.0,47.0,0.0,1.0,5.0,5.0,5.0,1.0,21.0,29.0,54.0,36.0,1.0,2.0,31.0,25.0,5.0,6.0,2.0,2.0,3.0,5.0,2.0,3.0,0.0,2.0,1.0,0.0,2.0,5.0,0.0,0.0,2.0,2.0,10.0,4.0,5.0,3.0,0.0,0.0,7.0,7.0,16.0,16.0,0.0,0.0,7.0,7.0,9.0,9.0,1.0,1.0,1.0,1.0,18.0,18.0,0.0,0.0,A,-26
2009092007,449.0,420.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,40.0,41.0,0.0,0.0,7.0,7.0,3.0,7.0,26.0,29.0,34.0,39.0,2.0,4.0,21.0,25.0,12.0,14.0,1.0,0.0,4.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,2.0,7.0,6.0,5.0,6.0,0.0,0.0,7.0,7.0,10.0,10.0,2.0,2.0,5.0,5.0,6.0,6.0,0.0,0.0,1.0,1.0,11.0,11.0,0.0,0.0,A,-3
2009092008,362.0,245.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,3.0,8.0,2.0,7.0,33.0,21.0,37.0,29.0,2.0,2.0,23.0,15.0,20.0,16.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,4.0,2.0,4.0,0.0,0.0,7.0,7.0,14.0,14.0,0.0,0.0,7.0,7.0,8.0,8.0,1.0,1.0,1.0,1.0,13.0,13.0,0.0,0.0,H,2
2009092009,438.0,353.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,31.0,29.0,0.0,0.0,8.0,12.0,8.0,13.0,35.0,19.0,33.0,53.0,1.0,1.0,21.0,26.0,31.0,23.0,2.0,2.0,2.0,4.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,4.0,0.0,4.0,8.0,3.0,6.0,0.0,0.0,8.0,8.0,13.0,13.0,4.0,4.0,4.0,4.0,8.0,8.0,1.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,H,13
2009092010,379.0,283.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,46.0,49.0,0.0,0.0,5.0,7.0,4.0,2.0,29.0,23.0,31.0,42.0,2.0,2.0,19.0,25.0,8.0,8.0,4.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,6.0,6.0,7.0,0.0,0.0,8.0,8.0,7.0,7.0,1.0,1.0,5.0,5.0,10.0,10.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,H,13
2009092011,275.0,308.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,44.0,41.0,0.0,0.0,10.0,6.0,3.0,5.0,18.0,22.0,39.0,37.0,1.0,1.0,27.0,23.0,7.0,9.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,4.0,6.0,3.0,0.0,0.0,2.0,2.0,13.0,13.0,2.0,2.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,H,3
2009092012,449.0,200.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,45.0,42.0,0.0,0.0,6.0,3.0,3.0,5.0,37.0,21.0,37.0,35.0,1.0,2.0,19.0,18.0,10.0,6.0,0.0,4.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,3.0,6.0,2.0,6.0,0.0,0.0,9.0,9.0,13.0,13.0,3.0,3.0,8.0,8.0,7.0,7.0,0.0,0.0,1.0,1.0,18.0,18.0,0.0,0.0,H,21
2009092013,474.0,311.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,44.0,38.0,0.0,0.0,9.0,7.0,7.0,4.0,21.0,32.0,47.0,28.0,1.0,2.0,25.0,18.0,9.0,14.0,2.0,1.0,2.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,1.0,6.0,7.0,2.0,4.0,0.0,0.0,4.0,4.0,14.0,14.0,2.0,2.0,7.0,7.0,9.0,9.0,1.0,1.0,1.0,1.0,18.0,18.0,0.0,0.0,A,-5
