game_id,Winner,score_difference
2013092200,H,21
2013092210,H,38
2013092209,A,-7
2013092208,H,3
2013092207,H,24
2013092206,H,20
2013092201,H,4
2013092202,H,24
2013092204,A,-4
2013092203,H,4
2013092205,H,7
2013092211,A,-20
2013092212,H,28
2013092213,A,-17
2013092300,H,16
2013092600,A,-24
2013092900,H,3
2013092907,A,-3
2013092906,H,7
2013092905,H,24
2013092904,A,-34
2013092903,A,-3
2013092901,H,11
2013092902,H,8
2013092908,H,25
2013092910,A,-10
2013092909,H,32
2013092911,H,9
2013092912,A,-7
2013093000,H,21
2013100300,H,13
2013100601,H,7
2013100602,H,13
2013100603,H,6
2013100604,A,-3
2013100600,A,-8
2013100605,A,-15
2013100607,A,-9
2013100606,H,14
2013100608,H,16
2013100609,A,-3
2013100611,H,31
2013100610,H,10
2013100700,A,-2
2013101000,H,6
2013101300,A,-2
2013101301,A,-3
2013101302,A,-14
2013101303,A,-25
2013101305,A,-25
2013101304,H,17
2013101306,A,-13
2013101307,A,-11
2013101308,H,16
2013101309,H,7
2013101310,H,3
2013101311,H,12
2013101312,H,15
2013101400,H,10
2013101700,A,-12
2013102000,H,8
2013102009,H,4
2013102008,A,-14
2013102007,H,3
2013102006,A,-2
2013102004,A,-18
2013102001,H,15
2013102002,A,-3
2013102010,A,-14
2013102005,H,1
2013102011,H,3
2013102003,H,18
2013102012,H,6
2013102100,H,16
2013102400,A,-18
2013102701,A,-32
2013102702,H,6
2013102703,H,10
2013102704,H,18
2013102700,H,1
2013102705,A,-8
2013102706,H,3
2013102707,H,40
2013102708,H,14
2013102709,H,24
2013102710,A,-13
2013102800,A,-5
2013103100,H,2
2013110301,H,24
2013110302,H,4
2013110303,H,6
2013110304,A,-7
2013110300,A,-10
2013110305,H,6
2013110306,A,-29
2013110307,H,3
2013110308,H,6
2013110309,H,24
2013110310,A,-3
2013110400,A,-7
2013110700,H,7
2013111003,A,-14
2013111007,A,-2
2013111006,H,13
2013111005,H,4
2013111004,A,-30
2013111000,A,-23
2013111001,H,3
2013111002,A,-2
2013111008,A,-1
2013111009,H,3
2013111010,A,-8
2013111011,H,32
2013111100,H,3
2013111400,A,-3
2013111700,H,23
2013111708,H,13
2013111707,H,10
2013111706,H,8
2013111704,A,-13
2013111703,A,-5
2013111701,H,3
2013111702,H,21
2013111705,H,4
2013111712,H,14
2013111711,H,21
2013111710,H,3
2013111709,H,10
2013111800,H,4
2013112100,A,-4
2013112402,A,-3
2013112403,A,0
2013112404,A,-7
2013112405,A,-3
2013112406,A,-4
2013112401,A,-16
2013112407,H,21
2013112400,H,16
2013112409,A,-4
2013112408,H,29
2013112410,A,-3
2013112411,H,3
2013112500,A,-21
2013112800,H,30
2013112801,H,7
2013112802,H,2
2013120102,H,8
2013120101,A,-4
2013120100,H,21
2013120104,H,3
2013120109,A,-3
2013120106,H,3
2013120105,A,-20
2013120107,A,-3
2013120108,H,10
2013120110,A,-7
2013120103,A,-7
2013120111,A,-7
2013120200,H,27
2013120500,H,7
2013120801,H,14
2013120802,H,1
2013120803,H,10
2013120808,A,-35
2013120800,H,3
2013120813,H,1
2013120807,H,21
2013120806,A,-6
2013120805,H,14
2013120809,H,23
2013120810,H,20
2013120812,H,2
2013120811,H,23
2013120804,H,18
2013120900,H,17
2013121200,A,-7
2013121500,H,1
2013121508,A,-19
2013121506,A,-23
2013121505,H,18
2013121504,H,4
2013121503,A,-7
2013121502,H,22
2013121501,A,-7
2013121511,A,-25
2013121510,H,10
2013121512,A,-1
2013121509,A,-3
2013121507,H,11
2013121513,H,10
2013121600,A,-2
2013122200,H,19
2013122201,H,4
2013122202,H,28
2013122203,A,-24
2013122204,A,-4
2013122205,A,-16
2013122209,A,-1
2013122206,H,11
2013122208,H,10
2013122211,A,-7
2013122210,A,-3
2013122214,A,-34
2013122213,H,13
2013122212,A,-7
2013122207,H,43
2013122300,H,10
2013122910,H,13
2013122909,H,14
2013122902,H,17
2013122911,H,6
2013122904,H,20
2013122905,A,-13
2013122906,H,1
2013122900,A,-1
2013122908,H,25
2013122907,H,14
2013122915,H,18
2013122901,A,-5
2013122912,A,-3
2013122913,A,-20
2013122914,H,3
2013122903,A,-2
2014090400,H,20
2014090700,H,3
2014090709,A,-28
2014090708,H,3
2014090707,H,17
2014090706,H,5
2014090701,A,-7
2014090702,A,-3
2014090703,H,11
2014090704,A,-16
2014090705,H,13
2014090711,A,-6
2014090710,A,-11
2014090712,H,7
2014090800,H,21
2014090801,H,1
2014091100,H,20
2014091400,H,19
2014091407,H,31
2014091406,A,-16
2014091405,A,-11
2014091404,A,-23
2014091403,H,2
2014091402,H,14
2014091401,H,17
2014091409,A,-2
2014091408,H,9
2014091412,A,-16
2014091411,H,7
2014091410,H,7
2014091413,A,-8
2014091500,A,-3
2014091800,H,42
2014092100,A,-12
2014092109,A,-3
2014092108,H,3
2014092107,H,13
2014092106,H,11
2014092101,H,26
2014092102,A,-2
2014092103,H,12
2014092104,A,-27
2014092105,H,7
2014092110,H,9
2014092112,H,6
2014092111,A,-19
2014092113,A,-18
2014092200,A,-8
2014092500,A,-31
2014092801,A,-21
2014092802,H,6
2014092803,H,24
2014092800,H,28
2014092805,A,-7
2014092807,A,-3
2014092806,A,-24
2014092808,H,19
2014092809,H,5
2014092804,H,13
2014092810,H,21
2014092900,H,27
2014100200,H,32
2014100500,H,7
2014100508,A,-1
2014100507,H,6
2014100506,H,10
2014100505,H,6
2014100501,H,3
2014100502,A,-3
2014100503,H,7
2014100504,A,-8
2014100509,H,21
2014100511,H,5
2014100510,H,31
2014100512,H,26
2014100600,A,-10
2014100900,A,-5
2014101203,H,21
2014101201,A,-15
2014101202,A,0
2014101208,H,2
2014101204,A,-3
2014101205,A,-14
2014101206,A,-14
2014101207,A,-31
2014101209,A,-3
2014101200,A,-14
2014101211,A,-7
2014101210,H,10
2014101212,H,27
2014101300,A,-14
2014101600,H,2
2014101900,H,22
2014101908,H,2
2014101907,H,2
2014101906,H,18
2014101905,H,27
2014101901,H,1
2014101902,A,-13
2014101903,H,1
2014101904,H,21
2014101909,A,-3
2014101911,A,-11
2014101910,H,10
2014101912,H,25
2014102000,H,7
2014102300,H,14
2014102600,A,-1
2014102607,A,-6
2014102606,A,-20
2014102605,H,28
2014102601,A,-4
2014102603,A,-14
2014102602,H,3
2014102608,A,-14
2014102604,H,27
2014102609,H,4
2014102611,H,17
2014102610,H,10
2014102612,H,21
2014102700,A,-3
2014103000,A,-18
2014110201,H,5
2014110202,A,-11
2014110203,A,-10
2014110204,H,14
2014110200,H,10
2014110205,H,37
2014110206,H,3
2014110207,A,-3
2014110208,H,22
2014110209,H,6
2014110210,H,20
2014110300,A,-16
2014110600,A,-21
2014110901,A,-4
2014110902,H,4
2014110903,A,-14
2014110904,A,-3
2014110900,H,14
2014110905,H,7
